company_id,company_name,company_type,company_website,company_location_city,company_owner,fuzzy_score,organization_number,scb_company_name,co_address,post_address,post_code,post_city,municipality_code,municipality,county_code,county,num_workplaces,employee_size_code,employee_size,company_status_code,company_status,legal_form_code,legal_form,start_date,registration_date,industry_1_code,industry_1,industry_2_code,industry_2,revenue_year,revenue_size_code,revenue_size,phone,email,employer_status_code,employer_status,vat_status_code,vat_status,export_import
2253,Universitets- och högskolerådet (UHR),publicsector,https://www.uhr.se/,SOLNA,,100,2021006487,Universitets- och högskolerådet,,BOX 4030,171 04,SOLNA,0180,Stockholm,01,Stockholm,2   ,8 ,200-499 anställda,1,Är verksam,81,Statliga enheter,2013-01-15,2013-01-03,84122,Administration av universitets- och högskoleutbildning samt forskning,     ,,2024,8 ,100 000 - 499 999 tkr,0104700300,registrator@uhr.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2257,Myndigheten för samhällsskydd och beredskap,publicsector,https://www.msb.se,KARLSTAD,,93,2021005984,Myndigheten för samhällsskydd och beredskap (MSB),,,651 81,KARLSTAD,0180,Stockholm,01,Stockholm,4   ,10,1000-1499 anställda,1,Är verksam,81,Statliga enheter,2009-01-15,2009-01-08,84222,Gemensam verksamhet för totalförsvaret,84223,Civilt försvar och frivilligförsvar,2024,8 ,100 000 - 499 999 tkr,0771240240,registrator@msb.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
2260,Nationalmuseum,publicsector,https://www.nationalmuseum.se,STOCKHOLM,,100,2021001108,NATIONALMUSEUM,,BOX 16176,103 24,STOCKHOLM,0180,Stockholm,01,Stockholm,3   ,7 ,100-199 anställda,1,Är verksam,81,Statliga enheter,1976-01-01,1975-01-01,91020,Museiverksamhet,     ,,2024,7 ,50 000 - 99 999 tkr,0851954300,registrator@nationalmuseum.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
2293,Järfälla kommun,publicsector,https://www.jarfalla.se/,JÄRFÄLLA,,100,2120000043,JÄRFÄLLA KOMMUN,,,177 80,JÄRFÄLLA,0123,Järfälla,01,Stockholm,122 ,15,5000-9999 anställda,1,Är verksam,82,Kommuner,1976-01-01,1974-01-01,85201,Grundskoleutbildning och förskoleklass,88101,Öppna sociala insatser för äldre personer,2024,8 ,100 000 - 499 999 tkr,0858028500,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
2296,Östgötatrafiken,publicsector,https://www.ostgotatrafiken.se,,,70,5560388950,AKTIEBOLAGET ÖSTGÖTATRAFIKEN, ,BOX 1550,581 15,LINKÖPING,0580,Linköping,05,Östergötland,1   ,8 ,200-499 anställda,1,Är verksam,49,Övriga aktiebolag,1981-01-01,1972-01-01,49319,Övrig kollektivtrafik,     ,,2024,10,1 000 000 - 4 999 999 tkr,, ,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2298,If Insurance,corporation,https://www.if.se,,,78,5164018102,If Skadeförsäkring AB (publ),,,106 80,STOCKHOLM,0180,Stockholm,01,Stockholm,12  ,12,2000-2999 anställda,1,Är verksam,42,Försäkringsaktiebolag,1999-03-05,1989-10-22,65120,Skadeförsäkring,     ,,2024,8 ,100 000 - 499 999 tkr,087927000,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
2302,Wellth AB,startup,https://www.nordicwellth.com/sv/,,,100,5591119036,Wellth AB,MARIA RANTEN,KOSMOSVÄGEN 12,181 63,LIDINGÖ,0180,Stockholm,01,Stockholm,1   ,1 ,0 anställda,1,Är verksam,49,Övriga aktiebolag,2018-01-03,2017-05-16,86212,"Annan allmän öppen hälso- och sjukvård, ej primärvård",     ,,2024,2 ,500 - 999 tkr,,jackie@nordicwellth.com,0,Har aldrig varit registrerad som arbetsgivare,1,Är registrerad för moms,N
2303,Opper AI,startup,https://opper.ai/,,,100,5594463720,Opper Technology AB,GÖRAN SANDAHL,VÄSTERÄNGSVÄGEN 51 A,182 47,ENEBYBERG,0162,Danderyd,01,Stockholm,1   ,3 ,5-9 anställda,1,Är verksam,49,Övriga aktiebolag,2024-01-02,2023-09-04,63110,"Databehandling, hosting o.d.",     ,,2024,1 ,1 - 499 tkr,,goran@gsandahl.net,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2314,Allmänna reklamationsnämnden,publicsector,https://www.arn.se/,STOCKHOLM,,100,2021003625,ALLMÄNNA REKLAMATIONSNÄMNDEN,,BOX 174,101 23,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,6 ,50-99 anställda,1,Är verksam,81,Statliga enheter,1981-01-01,1980-01-01,84114,Samhällelig informationsförsörjning,     ,,2024,1 ,1 - 499 tkr,0850886000,arn@arn.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
2318,AIxDesign AB,corporation,https://www.aixdesign.se,,,100,5569631913,AIxDesign Global AB,JOHAN SALO,ASPGATAN 4,214 48,MALMÖ,1280,Malmö,12,Skåne,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2014-03-11,2014-03-04,59110,"Produktion av film, video och TV-program",62020,Datakonsultverksamhet,2024,1 ,1 - 499 tkr,,johan.salo@gmail.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2320,Chatmoat,startup,https://chatmoat.com,,,100,5592907603,Innovation Institute of Sweden AB,,BOX 2062,116 74,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2021-01-25,2020-12-21,70220,Konsultverksamhet avseende företags organisation,85599,Diverse övrig utbildning,2024,2 ,500 - 999 tkr,,tobias@tobiashallberg.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2325,Fictive Reality AB,startup,https://www.fictivereality.com/,Älvsjö,,100,5591628887,Fictive Reality AB,THE WORKS,MEDBORGARPLATSEN 25,118 72,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2018-10-16,2018-06-26,62010,Dataprogrammering,     ,,2024,2 ,500 - 999 tkr,,board@fictivereality.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2326,Zentosa,startup,https://www.zentosa.se,Bromma,,100,5592048192,Zentosa AB,DANIEL BALDWIN,RINGVÄGEN 90,118 60,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,1 ,0 anställda,1,Är verksam,49,Övriga aktiebolag,2019-08-26,2019-05-13,62010,Dataprogrammering,70220,Konsultverksamhet avseende företags organisation,2024,1 ,1 - 499 tkr,           ,hello@zentosa.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2327,Vectorview,startup,https://www.vectorview.ai/,Bromma,,100,5594627415,Vectorview AB,,DJUPDALSVÄGEN 18,167 71,BROMMA,0180,Stockholm,01,Stockholm,1   ,3 ,5-9 anställda,1,Är verksam,49,Övriga aktiebolag,2024-04-15,2023-12-19,62030,Datordrifttjänster,     ,,2024,3 ,1 000 - 4 999 tkr,,lukas@andonlabs.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2328,Cocoon Airbag Protection AB,startup,https://www.cocoonairbag.com/,Eskilstuna,,100,5592112188,Cocoon Airbag Protection AB,INFONOMY AB,SCHEELEVÄGEN 2,223 81,LUND,1281,Lund,12,Skåne,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2019-11-04,2019-07-08,32990,Diverse övrig tillverkning,     ,,2024,1 ,1 - 499 tkr,           , ,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
2329,CADcog,startup,https://www.cadcog.com/,Gävle,,100,5593330318,CADcog AB,JOHAN HOLTBY,BRISGATAN 54,802 74,GÄVLE,2180,Gävle,21,Gävleborg,1   ,1 ,0 anställda,1,Är verksam,49,Övriga aktiebolag,2021-10-11,2021-09-06,62010,Dataprogrammering,     ,,2024,1 ,1 - 499 tkr,,johan.holtby@gmail.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
