company_id,company_name,company_type,company_website,company_location_city,company_owner,fuzzy_score,organization_number,scb_company_name,co_address,post_address,post_code,post_city,municipality_code,municipality,county_code,county,num_workplaces,employee_size_code,employee_size,company_status_code,company_status,legal_form_code,legal_form,start_date,registration_date,industry_1_code,industry_1,industry_2_code,industry_2,revenue_year,revenue_size_code,revenue_size,phone,email,employer_status_code,employer_status,vat_status_code,vat_status,export_import
1656,Arbetsförmedlingen,publicsector,https://arbetsformedlingen.se/,STOCKHOLM,,100,2021002114,ARBETSFÖRMEDLINGEN,,,107 67,STOCKHOLM,0180,Stockholm,01,Stockholm,119 ,15,5000-9999 anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1975-01-01,78100,Arbetsförmedling och rekrytering,84133,Administration av arbetsmarknadsprogram,2024,7 ,50 000 - 99 999 tkr,0771600053,registrator@arbetsformedlingen.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1664,Sundbybergs stad,publicsector,https://www.sundbyberg.se,,,89,5567755516,Sundbybergs stadshus AB,FASTIGHETS AB FÖRVALTAREN,,174 07,SUNDBYBERG,0183,Sundbyberg,01,Stockholm,1   ,4 ,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2009-06-09,2009-01-13,70100,Verksamheter som utövas av huvudkontor,     ,,2024,3 ,1 000 - 4 999 tkr,087068000,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1670,Maverick at Nexer AB,corporation,https://nexergroup.com/sv/maverick/vi-ar-maverick/,,,100,5564519345,Nexer AB,,Lindholmspiren 9,417 56,GÖTEBORG,1480,Göteborg,14,Västra Götaland,16  ,9 ,500-999 anställda,1,Är verksam,49,Övriga aktiebolag,1993-10-08,1992-08-26,62020,Datakonsultverksamhet,62090,Andra IT- och datatjänster,2024,10,1 000 000 - 4 999 999 tkr,020550550,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1679,Tillväxtanalys,publicsector,https://www.tillvaxtanalys.se,,,71,2021006164,Myndigheten för tillväxtpolitiska utvärderingar och analyser,,STUDENTPLAN 3,831 40,ÖSTERSUND,2380,Östersund,23,Jämtland,2   ,6 ,50-99 anställda,1,Är verksam,81,Statliga enheter,2009-04-07,2009-04-07,84114,Samhällelig informationsförsörjning,     ,,2024,0 ,< 1 tkr,0104474400,info@tillvaxtanalys.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1692,Nimo AI,supplier,nimoai.com,,Oliver Isaksson,100,5592278054,Haus Web AB,,SIGURDSGATAN 23,721 30,VÄSTERÅS,1980,Västerås,19,Västmanland,1   ,3 ,5-9 anställda,1,Är verksam,49,Övriga aktiebolag,2020-01-27,2019-11-25,73111,Reklambyråverksamhet,     ,,2024,5 ,10 000 - 19 999 tkr,,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1707,Statens Fastighetsverk,publicsector,https://sfv.se,STOCKHOLM,,100,2021004474,STATENS FASTIGHETSVERK,,BOX 2263,103 16,STOCKHOLM,0180,Stockholm,01,Stockholm,26  ,9 ,500-999 anställda,1,Är verksam,81,Statliga enheter,1993-10-08,1993-02-12,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler",     ,,2024,8 ,100 000 - 499 999 tkr,0104787000,sfv@sfv.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1715,Region Stockholm,publicsector,regionstockholm.se,STOCKHOLM,,100,2321000016,REGION STOCKHOLM,,BOX 30215,104 25,STOCKHOLM,0180,Stockholm,01,Stockholm,305 ,16,10000- anställda,1,Är verksam,84,Regioner,1976-01-01,1974-01-01,86102,Specialiserad sluten somatisk hälso- och sjukvård på sjukhus,86221,"Specialistläkarverksamhet inom öppenvård, på sjukhus",2024,10,1 000 000 - 4 999 999 tkr,087372500,regionstockholm@sll.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1722,Esatto AB,supplier,https://www.esatto.se/,STOCKHOLM,,60,5569355232,Dizparc Esatto AB,,DROTTNINGGATAN 94,111 36,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,4 ,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2013-07-09,2013-07-09,62010,Dataprogrammering,70210,PR och kommunikation,2024,7 ,50 000 - 99 999 tkr,08234343,ekonomi@esatto.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1736,Jordbruksverket,publicsector,https://jordbruksverket.se/,,,100,2021004151,STATENS JORDBRUKSVERK,,,551 82,JÖNKÖPING,0680,Jönköping,06,Jönköping,64  ,11,1500-1999 anställda,1,Är verksam,81,Statliga enheter,1991-08-27,1991-04-23,84132,"Administration av program för jordbruk, skogsbruk, jakt och fiske",75000,Veterinärverksamhet,2024,9 ,500 000 - 999 999 tkr,036155000,jordbruksverket@jordbruksverket.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1743,Brandskyddsföreningen,publicsector,https://www.brandskyddsforeningen.se/,,,100,8020004266,BRANDSKYDDSFÖRENINGEN SVERIGE,,KABYSSGATAN 4 D,120 30,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,3 ,5-9 anställda,1,Är verksam,61,Ideella föreningar,2003-08-09,1971-01-01,94990,Verksamhet i andra intresseorganisationer,     ,,2024,2 ,500 - 999 tkr,0858847400,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1746,SISAB Skolfastigheter i Stockholm AB,publicsector,http://sisab.se,,,51,5560348970,SKOLFASTIGHETER I STOCKHOLM AKTIEBOLAG SISAB,,BOX 5010,121 05,JOHANNESHOV,0180,Stockholm,01,Stockholm,1   ,8 ,200-499 anställda,1,Är verksam,49,Övriga aktiebolag,1987-03-19,1972-01-01,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler",     ,,2024,10,1 000 000 - 4 999 999 tkr,0850846000,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1753,Sollentuna kommun,publicsector,sollentuna.se,SOLLENTUNA,,100,2120000134,SOLLENTUNA KOMMUN,,,191 86,SOLLENTUNA,0163,Sollentuna,01,Stockholm,59  ,13,3000-3999 anställda,1,Är verksam,82,Kommuner,1976-01-01,1974-01-01,85201,Grundskoleutbildning och förskoleklass,84115,Personalförvaltning och andra allmänna stödtjänster,2024,10,1 000 000 - 4 999 999 tkr,0857921000,sollentuna.kommun@sollentuna.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1760,Blackwell Medtech,startup,https://www.blackwell.se/,,,100,5593069346,ALMA Health AB,,TANTOGATAN 31,118 42,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,4 ,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2021-04-06,2021-03-15,58290,Utgivning av annan programvara,     ,,2024,5 ,10 000 - 19 999 tkr,,info@almahealth.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1764,AI For HR,supplier,https://www.aiforhr.se/,,,100,5591606982,The Elephant Community AB,THOMAS EKLÖF,PARKVÄGEN 29,135 52,TYRESÖ,0180,Stockholm,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2018-06-26,2018-06-05,70220,Konsultverksamhet avseende företags organisation,85594,Personalutbildning,2024,2 ,500 - 999 tkr,           ,thomas@aiforhr.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1768,Integritetsskyddsmyndigheten,publicsector,https://www.imy.se/,STOCKHOLM,,100,2021000050,Integritetsskyddsmyndigheten,,BOX 8114,104 20,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,7 ,100-199 anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1975-01-01,84112,"Inspektion, kontroll och tillståndsgivning",     ,,2024,1 ,1 - 499 tkr,086576100,imy@imy.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1787,Nytt-IQ,supplier,https://nytt-iq.se/om-oss,,,100,5561523985,Naeco AB,WIKMAN,BANÉRGATAN 81  LGH 1801,115 53,STOCKHOLM,0160,Täby,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2018-01-30,1972-01-01,64202,Holdingverksamhet i icke-finansiella koncerner,     ,,,0 ,,087560140,,1,Är registrerad som vanlig arbetsgivare,9,Är avregistrerad för moms,N
1819,Inera AB,publicsector,inera.se,,,100,5565594230,Inera AB,,,118 82,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,8 ,200-499 anställda,1,Är verksam,49,Övriga aktiebolag,1999-11-12,1998-11-05,62010,Dataprogrammering,     ,,2024,10,1 000 000 - 4 999 999 tkr,084527160,info@inera.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1830,Maria Strand,corporation,https://www.indutrade.com/,,,100,5560179367,INDUTRADE AKTIEBOLAG, ,BOX 6044,164 06,KISTA,0180,Stockholm,01,Stockholm,1   ,5 ,20-49 anställda,1,Är verksam,49,Övriga aktiebolag,1987-11-19,1972-01-01,70100,Verksamheter som utövas av huvudkontor,     ,,2024,5 ,10 000 - 19 999 tkr,087030200, ,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1833,Eghed AB,corporation,https://eghed.se/,,,100,5593854986,Eghed Göteborg AB,CONVENDUM ELISABETH REIMEGÅRD,KUNGSPORTSAVENYEN 21,411 36,GÖTEBORG,1480,Göteborg,14,Västra Götaland,1   ,4 ,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2022-10-03,2022-06-20,62020,Datakonsultverksamhet,     ,,2024,6 ,20 000 - 49 999 tkr,,elisabeth.reimegard@eghed.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1840,Styrelsen för ackreditering och teknisk kontroll (Swedac),publicsector,https://www.swedac.se/,BORÅS,,72,2021003815,STYRELSEN FÖR ACKREDITERING OCH TEKNISK KONTROLL,,BOX 878,501 15,BORÅS,1490,Borås,14,Västra Götaland,1   ,7 ,100-199 anställda,1,Är verksam,81,Statliga enheter,1983-09-17,1983-04-23,71200,Teknisk provning och analys,     ,,2024,8 ,100 000 - 499 999 tkr,0771990900,registrator@swedac.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1842,INVID AB,supplier,https://invid.se,,,100,5566318118,INVID GRUPPEN AB,,BOX 3129,550 03,JÖNKÖPING,0680,Jönköping,06,Jönköping,1   ,1 ,0 anställda,1,Är verksam,49,Övriga aktiebolag,2003-09-09,2002-09-10,70220,Konsultverksamhet avseende företags organisation,     ,,2024,2 ,500 - 999 tkr,,,0,Har aldrig varit registrerad som arbetsgivare,1,Är registrerad för moms,N
1853,Bäckström Stockholm AB,corporation,https://backstroms.se/,,,100,5565745527,Bäckström Stockholm Aktiebolag,,VÄSTBERGA ALLÉ 36 A,126 30,HÄGERSTEN,0180,Stockholm,01,Stockholm,1   ,6 ,50-99 anställda,1,Är verksam,49,Övriga aktiebolag,1999-09-17,1999-09-17,43120,Mark- och grundarbeten,49410,"Vägtransport, godstrafik",2024,9 ,500 000 - 999 999 tkr,,info@backstroms.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1855,Region Värmland,publicsector,regionvärmland.se,KARLSTAD,,100,2321000156,REGION VÄRMLAND,,,651 82,KARLSTAD,1780,Karlstad,17,Värmland,105 ,15,5000-9999 anställda,1,Är verksam,84,Regioner,1976-01-01,1974-01-01,86102,Specialiserad sluten somatisk hälso- och sjukvård på sjukhus,86221,"Specialistläkarverksamhet inom öppenvård, på sjukhus",2024,9 ,500 000 - 999 999 tkr,054615000,info@regionvarmland.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1867,Konsumentverket,publicsector,https://www.konsumentverket.se,KARLSTAD,,100,2021002064,KONSUMENTVERKET,,BOX 48,651 02,KARLSTAD,1780,Karlstad,17,Värmland,1   ,7 ,100-199 anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1975-01-01,84114,Samhällelig informationsförsörjning,84112,"Inspektion, kontroll och tillståndsgivning",2024,3 ,1 000 - 4 999 tkr,0771423300,konsumentverket@konsumentverket.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1877,Åklagarmyndigheten,publicsector,https://www.aklagare.se/,STOCKHOLM,,100,2021000084,ÅKLAGARMYNDIGHETEN,,BOX 5553,114 85,STOCKHOLM,0180,Stockholm,01,Stockholm,36  ,12,2000-2999 anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1975-01-01,84231,Åklagarverksamhet,     ,,2024,1 ,1 - 499 tkr,0105625000,registrator@aklagare.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1923,Atlan AI,supplier,https://atlan-ai.com/,,,100,5594251398,Atlan Insights AB,ROCÍO BACHMAIER,BRANTINGSGATAN 51,115 35,STOCKHOLM,0180,Stockholm,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2023-10-16,2023-03-13,62020,Datakonsultverksamhet,     ,,2024,1 ,1 - 499 tkr,,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1934,Prithu Banerjee,supplier,https://www.algorithma.se/,,,100,5593913246,Algorithma AB,JENS ERIKSVIK,BARRVÄGEN 7,191 33,SOLLENTUNA,1480,Göteborg,14,Västra Götaland,2   ,4 ,10-19 anställda,1,Är verksam,49,Övriga aktiebolag,2022-08-08,2022-08-08,70220,Konsultverksamhet avseende företags organisation,     ,,2024,4 ,5 000 - 9 999 tkr,0739626031,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
